demand,capacity factor criteria,power,# units,lcoe_O
50,0.99995,1000,2,3055.6249632594445
50,0.99995,900,2,2792.3306938298583
50,0.99995,800,2,2525.3067624530017
50,0.99995,700,2,2253.940092363627
50,0.99995,600,2,1977.4149196556543
50,0.99995,500,2,1694.5992748238066
50,0.99995,400,2,1403.8304386127443
50,0.99995,300,2,1102.4574273825926
50,0.99995,200,2,785.6679594069006
50,0.99995,100,2,442.8299208341594
50,0.99995,50,2,250.94685019545648
50,0.99995,20,4,216.63992975957595
50,0.99995,10,6,176.5309709314496
50,0.99995,5,11,173.81383939267647
50,0.99995,1,51,185.28837111280765
100,0.99995,1000,2,1527.8124816297222
100,0.99995,900,2,1396.1653469149292
100,0.99995,800,2,1262.6533812265009
100,0.99995,700,2,1126.9700461818136
100,0.99995,600,2,988.7074598278272
100,0.99995,500,2,847.2996374119033
100,0.99995,400,2,701.9152193063721
100,0.99995,300,2,551.2287136912963
100,0.99995,200,2,392.8339797034503
100,0.99995,100,2,221.4149604170797
100,0.99995,50,3,178.03632694357415
100,0.99995,20,6,155.5341090459618
100,0.99995,10,11,153.07901347044165
100,0.99995,5,21,153.1400428501692
100,0.99995,1,102,172.73229837747553
500,0.99995,1000,2,305.5624963259443
500,0.99995,900,2,279.2330693829858
500,0.99995,800,2,252.5306762453001
500,0.99995,700,2,225.39400923636265
500,0.99995,600,2,197.74149196556536
500,0.99995,500,2,169.4599274823806
500,0.99995,400,3,201.33778641426932
500,0.99995,300,3,157.88657286556995
500,0.99995,200,4,145.45367252279547
500,0.99995,100,6,117.7752544569147
500,0.99995,50,11,115.70784217359085
500,0.99995,20,26,117.8722624226651
500,0.99995,10,53,121.98725691616787
500,0.99995,5,104,128.50464961524793
500,0.99995,1,508,146.45612131032425
1000,0.99995,1000,2,152.78124816297216
1000,0.99995,900,3,201.0485192694228
1000,0.99995,800,3,181.71675772698916
1000,0.99995,700,3,162.08227501742016
1000,0.99995,600,3,142.0882099216678
1000,0.99995,500,3,121.65568633185057
1000,0.99995,400,4,130.6748156206713
1000,0.99995,300,5,125.5591434403141
1000,0.99995,200,6,105.352607251552
1000,0.99995,100,11,103.31910833633916
1000,0.99995,50,21,102.64947626841533
1000,0.99995,20,53,110.72304769702492
1000,0.99995,10,105,112.32285218729504
1000,0.99995,5,206,118.71702613184937
1000,0.99995,1,1016,137.76492426349947
2000,0.99995,1000,3,110.06015205025813
2000,0.99995,900,4,130.80155217920353
2000,0.99995,800,4,118.18333908917819
2000,0.99995,700,4,105.37205115679978
2000,0.99995,600,5,113.39373502307839
2000,0.99995,500,5,96.99817212242246
2000,0.99995,400,6,94.89190590328465
2000,0.99995,300,8,97.0610595230197
2000,0.99995,200,11,92.74049502555049
2000,0.99995,100,21,91.86489390083081
2000,0.99995,50,42,95.68805938789899
2000,0.99995,20,105,101.98976105770662
2000,0.99995,10,208,103.85778363858037
2000,0.99995,5,411,110.5210024004527
2000,0.99995,1,2032,130.28190317553998
6000,0.99995,1000,7,80.40727479123107
6000,0.99995,900,8,83.21636549809965
6000,0.99995,800,9,83.98942150332495
6000,0.99995,700,10,82.68464380795011
6000,0.99995,600,11,79.2408112440616
6000,0.99995,500,13,79.44439802107058
6000,0.99995,400,16,76.5144197923961
6000,0.99995,300,21,77.94972789650696
6000,0.99995,200,32,82.15555796957409
6000,0.99995,100,64,82.0351873594406
6000,0.99995,50,124,84.29553747225373
6000,0.99995,20,315,91.06095250399297
6000,0.99995,10,626,93.36878232386542
6000,0.99995,5,1231,99.65277002810508
6000,0.99995,1,6094,120.48883709430308
