demand,capacity factor criteria,power,lcoe_O,lcoe_1,lcoe_2,lcoe_3
500,0.9,1000,305.5624963259443,248.3104321938276,191.05836806171072,133.80630392959384
500,0.9,900,279.2330693829858,229.70621166408066,180.17935394517545,130.65249622627036
500,0.9,800,252.5306762453001,210.72902493960666,168.92737363391325,127.1257223282198
500,0.9,700,225.39400923636265,191.31756434388106,157.24111945139913,123.1646745589175
500,0.9,600,197.74149196556536,171.39025348629542,145.03901500702526,118.68777652775508
500,0.9,500,169.4599274823806,150.83389541632232,132.2078633502639,113.58183128420548
500,0.9,400,201.33778641426932,174.99299670423832,148.64820699420744,122.3034172841765
500,0.9,300,157.88657286556995,143.12798058304685,128.36938830052358,113.6107960180004
500,0.9,200,145.45367252279547,134.56147764140695,123.66928276001839,112.77708787862981
500,0.9,100,117.7752544569147,114.5188480880134,111.2624417191121,108.00603535021075
500,0.9,50,108.8600843781734,108.8600843781734,108.8600843781734,108.8600843781734
500,0.9,20,116.34587506259587,116.34587506259587,116.34587506259587,116.34587506259587
500,0.9,5,128.92541336582067,128.92541336582067,128.92541336582067,128.92541336582067
500,0.9,1,147.77910927745793,147.77910927745793,147.77910927745793,147.77910927745793
500,0.95,1000,305.5624963259443,248.3104321938276,191.05836806171072,133.80630392959384
500,0.95,900,279.2330693829858,229.70621166408066,180.17935394517545,130.65249622627036
500,0.95,800,252.5306762453001,210.72902493960666,168.92737363391325,127.1257223282198
500,0.95,700,225.39400923636265,191.31756434388106,157.24111945139913,123.1646745589175
500,0.95,600,197.74149196556536,171.39025348629542,145.03901500702526,118.68777652775508
500,0.95,500,169.4599274823806,150.83389541632232,132.2078633502639,113.58183128420548
500,0.95,400,201.33778641426932,174.99299670423832,148.64820699420744,122.3034172841765
500,0.95,300,157.88657286556995,143.12798058304685,128.36938830052358,113.6107960180004
500,0.95,200,145.45367252279547,134.56147764140695,123.66928276001839,112.77708787862981
500,0.95,100,117.7752544569147,114.5188480880134,111.2624417191121,108.00603535021075
500,0.95,50,115.70784217359085,114.31429853611525,112.92075489863966,111.52721126116404
500,0.95,20,116.24200682919323,116.24200682919323,116.24200682919323,116.24200682919323
500,0.95,5,128.15203139199065,128.15203139199065,128.15203139199065,128.15203139199065
500,0.95,1,147.05539329317378,147.05539329317378,147.05539329317378,147.05539329317378
500,0.99,1000,305.5624963259443,248.3104321938276,191.05836806171072,133.80630392959384
500,0.99,900,279.2330693829858,229.70621166408066,180.17935394517545,130.65249622627036
500,0.99,800,252.5306762453001,210.72902493960666,168.92737363391325,127.1257223282198
500,0.99,700,225.39400923636265,191.31756434388106,157.24111945139913,123.1646745589175
500,0.99,600,197.74149196556536,171.39025348629542,145.03901500702526,118.68777652775508
500,0.99,500,169.4599274823806,150.83389541632232,132.2078633502639,113.58183128420548
500,0.99,400,201.33778641426932,174.99299670423832,148.64820699420744,122.3034172841765
500,0.99,300,157.88657286556995,143.12798058304685,128.36938830052358,113.6107960180004
500,0.99,200,145.45367252279547,134.56147764140695,123.66928276001839,112.77708787862981
500,0.99,100,117.7752544569147,114.5188480880134,111.2624417191121,108.00603535021075
500,0.99,50,115.70784217359085,114.31429853611525,112.92075489863966,111.52721126116404
500,0.99,20,117.8722624226651,117.57741251008203,117.28256259749901,116.98771268491592
500,0.99,5,127.51191487746205,127.50052378273516,127.48913268800824,127.47774159328135
500,0.99,1,146.51981220359605,146.5176825242357,146.51555284487543,146.5134231655151
500,1.0,1000,305.5624963259443,248.3104321938276,191.05836806171072,133.80630392959384
500,1.0,900,279.2330693829858,229.70621166408066,180.17935394517545,130.65249622627036
500,1.0,800,252.5306762453001,210.72902493960666,168.92737363391325,127.1257223282198
500,1.0,700,225.39400923636265,191.31756434388106,157.24111945139913,123.1646745589175
500,1.0,600,197.74149196556536,171.39025348629542,145.03901500702526,118.68777652775508
500,1.0,500,169.4599274823806,150.83389541632232,132.2078633502639,113.58183128420548
500,1.0,400,201.33778641426932,174.99299670423832,148.64820699420744,122.3034172841765
500,1.0,300,157.88657286556995,143.12798058304685,128.36938830052358,113.6107960180004
500,1.0,200,145.45367252279547,134.56147764140695,123.66928276001839,112.77708787862981
500,1.0,100,117.7752544569147,114.5188480880134,111.2624417191121,108.00603535021075
500,1.0,50,115.70784217359085,114.31429853611525,112.92075489863966,111.52721126116404
500,1.0,20,117.8722624226651,117.57741251008203,117.28256259749901,116.98771268491592
500,1.0,5,128.50464961524793,128.3157500456254,128.1268504760028,127.93795090638017
500,1.0,1,146.45612131032425,146.44431001134816,146.43249871237214,146.42068741339605
1000,0.9,1000,152.78124816297216,134.15521609691368,115.52918403085538,96.90315196479695
1000,0.9,900,140.5823126397246,125.57841259917898,110.5745125586334,95.5706125180878
1000,0.9,800,181.71675772698916,155.3719680169582,129.02717830692728,102.68238859689629
1000,0.9,700,162.08227501742016,141.53058402114303,120.97889302486597,100.42720202858887
1000,0.9,600,142.0882099216678,127.32961763914449,112.57102535662135,97.81243307409812
1000,0.9,500,121.65568633185057,112.69019276308124,103.72469919431185,94.75920562554246
1000,0.9,400,130.6748156206713,119.7826207392827,108.8904258578942,97.99823097650564
1000,0.9,300,103.82284602935476,100.32835844829523,96.83387086723563,93.33938328617617
1000,0.9,200,105.352607251552,102.18972040606512,99.02683356057818,95.86394671509137
1000,0.9,100,97.5379079484812,97.5379079484812,97.5379079484812,97.5379079484812
1000,0.9,50,100.93068325647961,100.93068325647961,100.93068325647961,100.93068325647961
1000,0.9,20,110.55187532498078,110.55187532498078,110.55187532498078,110.55187532498078
1000,0.9,5,119.52844293485795,119.52844293485795,119.52844293485795,119.52844293485795
1000,0.9,1,138.91132564933915,138.91132564933915,138.91132564933915,138.91132564933915
1000,0.95,1000,152.78124816297216,134.15521609691368,115.52918403085538,96.90315196479695
1000,0.95,900,201.0485192694228,168.91063084563788,136.77274242185314,104.63485399806834
1000,0.95,800,181.71675772698916,155.3719680169582,129.02717830692728,102.68238859689629
1000,0.95,700,162.08227501742016,141.53058402114303,120.97889302486597,100.42720202858887
1000,0.95,600,142.0882099216678,127.32961763914449,112.57102535662135,97.81243307409812
1000,0.95,500,121.65568633185057,112.69019276308124,103.72469919431185,94.75920562554246
1000,0.95,400,130.6748156206713,119.7826207392827,108.8904258578942,97.99823097650564
1000,0.95,300,125.5591434403141,116.60162612910224,107.6441088178904,98.68659150667857
1000,0.95,200,105.352607251552,102.18972040606512,99.02683356057818,95.86394671509137
1000,0.95,100,103.31910833633916,102.01009143717414,100.70107453800914,99.39205763884407
1000,0.95,50,100.75779635803033,100.75779635803033,100.75779635803033,100.75779635803033
1000,0.95,20,109.748494985945,109.748494985945,109.748494985945,109.748494985945
1000,0.95,5,118.85731996163437,118.85731996163437,118.85731996163437,118.85731996163437
1000,0.95,1,138.28295267896019,138.28295267896019,138.28295267896019,138.28295267896019
1000,0.99,1000,152.78124816297216,134.15521609691368,115.52918403085538,96.90315196479695
1000,0.99,900,201.0485192694228,168.91063084563788,136.77274242185314,104.63485399806834
1000,0.99,800,181.71675772698916,155.3719680169582,129.02717830692728,102.68238859689629
1000,0.99,700,162.08227501742016,141.53058402114303,120.97889302486597,100.42720202858887
1000,0.99,600,142.0882099216678,127.32961763914449,112.57102535662135,97.81243307409812
1000,0.99,500,121.65568633185057,112.69019276308124,103.72469919431185,94.75920562554246
1000,0.99,400,130.6748156206713,119.7826207392827,108.8904258578942,97.99823097650564
1000,0.99,300,125.5591434403141,116.60162612910224,107.6441088178904,98.68659150667857
1000,0.99,200,105.352607251552,102.18972040606512,99.02683356057818,95.86394671509137
1000,0.99,100,103.31910833633916,102.01009143717414,100.70107453800914,99.39205763884407
1000,0.99,50,102.64947626841533,102.24477033985809,101.8400644113008,101.43535848274355
1000,0.99,20,110.72304769702492,110.45209072024024,110.18113374345552,109.91017676667076
1000,0.99,5,118.3476630034799,118.33907897790401,118.33049495232814,118.32191092675224
1000,0.99,1,137.81161811688128,137.80948850128297,137.80735888568466,137.80522927008633
1000,1.0,1000,152.78124816297216,134.15521609691368,115.52918403085538,96.90315196479695
1000,1.0,900,201.0485192694228,168.91063084563788,136.77274242185314,104.63485399806834
1000,1.0,800,181.71675772698916,155.3719680169582,129.02717830692728,102.68238859689629
1000,1.0,700,162.08227501742016,141.53058402114303,120.97889302486597,100.42720202858887
1000,1.0,600,142.0882099216678,127.32961763914449,112.57102535662135,97.81243307409812
