demand,capacity factor criteria,power,# units,lcoe_1,lcoe_2,lcoe_3
50,0.9,1000,1,1549.878889975174,1074.8788899751742,599.8788899751742
50,0.9,900,1,1421.9174035766723,996.9174035766729,571.9174035766725
50,0.9,800,1,1291.6701638687114,916.6701638687113,541.6701638687111
50,0.9,700,1,1158.7615457103739,833.761545710374,508.76154571037364
50,0.9,600,1,1022.6914489875015,747.6914489875015,472.69144898750136
50,0.9,500,1,882.7654246441964,657.7654246441963,432.76542464419646
50,0.9,400,1,737.9624804009613,562.9624804009611,387.96248040096094
50,0.9,300,1,586.6528124391865,461.65281243918645,336.6528124391863
50,0.9,200,1,425.872840605393,350.8728406053929,275.872840605393
50,0.9,100,1,248.12604840374934,223.1260484037494,198.12604840374934
50,0.9,50,1,146.93020179434376,146.93020179434376,146.93020179434376
50,0.9,20,3,168.8628280704284,164.13615543254673,159.4094827946652
50,0.9,10,5,153.1673463707965,153.1673463707965,153.1673463707965
50,0.9,5,10,162.2327975571412,162.2327975571412,162.2327975571412
50,0.9,1,47,184.03959051462965,184.03959051462965,184.03959051462965
100,0.9,1000,1,779.9394449875872,554.939444987587,329.9394449875869
100,0.9,900,1,715.9587017883362,515.9587017883365,315.95870178833627
100,0.9,800,1,650.8350819343556,475.83508193435574,300.8350819343555
100,0.9,700,1,584.3807728551872,434.38077285518676,284.380772855187
100,0.9,600,1,516.3457244937506,391.34572449375065,266.3457244937507
100,0.9,500,1,446.3827123220982,346.3827123220983,246.38271232209823
100,0.9,400,1,373.9812402004803,298.9812402004804,223.98124020048056
100,0.9,300,1,298.3264062195932,248.32640621959328,198.32640621959325
100,0.9,200,1,217.93642030269643,192.93642030269643,167.93642030269643
100,0.9,100,1,129.06302420187473,129.06302420187473,129.06302420187473
100,0.9,50,2,128.9397072939012,128.9397072939012,128.9397072939012
100,0.9,20,5,135.12521281641446,135.12521281641446,135.12521281641446
100,0.9,10,10,143.1798533418924,143.1798533418924,143.1798533418924
100,0.9,5,20,148.93991923114294,148.93991923114294,148.93991923114294
100,0.9,1,93,173.75345744183286,173.75345744183286,173.75345744183286
