demand,lifetime capacity factor criteria,power,lcoe_O,lcoe_1
1000,0.9,1000,86.99394449875875,86.99394449875875
1000,0.9,900,140.5823126397246,125.57841259917898
1000,0.9,800,128.02435166212425,116.69304388716505
1000,0.9,700,115.06851128894239,107.46131786504306
1000,0.9,600,101.66441901784926,97.83395387918547
1000,0.9,500,87.7438962369055,87.7438962369055
1000,0.9,400,102.7957505071921,99.13378657490668
1000,0.9,300,103.82284602935476,100.32835844829523
1000,0.9,200,92.31977536233633,92.31977536233633
1000,0.9,100,97.5379079484812,97.5379079484812
1000,0.9,50,100.93068325647961,100.93068325647961
1000,0.9,20,110.55187532498078,110.55187532498078
1000,0.9,5,119.52844293485795,119.52844293485795
1000,0.9,1,138.92420504256427,138.92420504256427
1000,0.95,1000,86.99394449875875,86.99394449875875
1000,0.95,900,140.5823126397246,125.57841259917898
1000,0.95,800,128.02435166212425,116.69304388716505
1000,0.95,700,115.06851128894239,107.46131786504306
1000,0.95,600,101.66441901784926,97.83395387918547
1000,0.95,500,87.7438962369055,87.7438962369055
1000,0.95,400,102.7957505071921,99.13378657490668
1000,0.95,300,103.82284602935476,100.32835844829523
1000,0.95,200,92.31977536233633,92.31977536233633
1000,0.95,100,97.5379079484812,97.5379079484812
1000,0.95,50,100.75779635803033,100.75779635803033
1000,0.95,20,110.00985246017834,110.00985246017834
1000,0.95,5,118.85731996163437,118.85731996163437
1000,0.95,1,138.28295267896019,138.28295267896019
1000,0.99,1000,152.78124816297216,134.15521609691368
1000,0.99,900,140.5823126397246,125.57841259917898
1000,0.99,800,128.02435166212425,116.69304388716505
1000,0.99,700,115.06851128894239,107.46131786504306
1000,0.99,600,101.66441901784926,97.83395387918547
1000,0.99,500,121.65568633185057,112.69019276308124
1000,0.99,400,102.7957505071921,99.13378657490668
1000,0.99,300,103.82284602935476,100.32835844829523
1000,0.99,200,105.352607251552,102.18972040606512
1000,0.99,100,103.31910833633916,102.01009143717414
1000,0.99,50,102.64947626841533,102.24477033985809
1000,0.99,20,109.5987091972059,109.57939958225458
1000,0.99,5,118.3476630034799,118.33907897790401
1000,0.99,1,137.81161811688128,137.80948850128297
1000,1.0,1000,152.78124816297216,134.15521609691368
1000,1.0,900,140.5823126397246,125.57841259917898
1000,1.0,800,128.02435166212425,116.69304388716505
1000,1.0,700,115.06851128894239,107.46131786504306
1000,1.0,600,101.66441901784926,97.83395387918547
1000,1.0,500,121.65568633185057,112.69019276308124
1000,1.0,400,102.7957505071921,99.13378657490668
1000,1.0,300,103.82284602935476,100.32835844829523
1000,1.0,200,105.352607251552,102.18972040606512
1000,1.0,100,103.31910833633916,102.01009143717414
1000,1.0,50,102.64947626841533,102.24477033985809
1000,1.0,20,110.72304769702492,110.45209072024024
1000,1.0,5,118.71702613184937,118.62550088418001
1000,1.0,1,137.76492426349947,137.7528466506764
