demand,Reliability,Reactor Unit Size (MW),# units,TCI (USD Billions)
5,0.999,1000,1,7.787198859778218
5,0.999,900,1,7.085145008865913
5,0.999,800,1,6.376145913758968
5,0.999,700,1,5.659059364334795
5,0.999,600,1,4.932370308853839
5,0.999,500,1,4.193984641966489
5,0.999,400,1,3.440841690828759
5,0.999,300,1,2.6680937822347373
5,0.999,200,1,1.8670230805017518
5,0.999,100,1,1.0177146859435653
5,0.999,50,1,0.5568936079567978
5,0.999,20,1,0.25219379644494905
5,0.999,10,1,0.13893121944776532
5,0.999,5,2,0.147559069
5,0.999,1,6,0.099404968
100,0.999,1000,1,7.787198859778218
100,0.999,900,1,7.085145008865913
100,0.999,800,1,6.376145913758968
100,0.999,700,1,5.659059364334795
100,0.999,600,1,4.932370308853839
100,0.999,500,1,4.193984641966489
100,0.999,400,1,3.440841690828759
100,0.999,300,1,2.6680937822347373
100,0.999,200,1,1.8670230805017518
100,0.999,100,2,1.9754059044428696
100,0.999,50,3,1.5775995691087932
100,0.999,20,6,1.338012204017718
100,0.999,10,11,1.249464043656109
100,0.999,5,21,1.1848572931286723
100,0.999,1,102,1.0254343685366905
500,0.999,1000,1,7.787198859778218
500,0.999,900,1,7.085145008865913
500,0.999,800,1,6.376145913758968
500,0.999,700,1,5.659059364334795
500,0.999,600,1,4.932370308853839
500,0.999,500,2,8.172267352465546
500,0.999,400,2,6.701328960311842
500,0.999,300,2,5.1928749322700805
500,0.999,200,3,5.323331693888178
500,0.999,100,6,5.486362023
500,0.999,50,11,5.141024270571133
500,0.999,20,26,4.848634436916612
500,0.999,10,53,4.783970946068364
500,0.999,5,103,4.446204638325487
500,0.999,1,508,3.6201669782618437
1000,0.999,1000,2,15.19678393872519
1000,0.999,900,2,13.823633977612248
1000,0.999,800,2,12.437190392858822
1000,0.999,700,2,11.035266212062714
1000,0.999,600,2,9.614961140853152
1000,0.999,500,3,12.004269128458832
1000,0.999,400,3,9.839615442248677
1000,0.999,300,4,9.975802502692211
1000,0.999,200,6,10.127463482433338
1000,0.999,100,11,9.491021458
1000,0.999,50,21,9.092589406223533
1000,0.999,20,53,8.904528221250366
1000,0.999,10,105,8.462090108721009
1000,0.999,5,205,7.801590948
1000,0.999,1,1015,6.207973114430172
2000,0.999,1000,3,22.34960567972551
2000,0.999,900,3,20.326502174477255
2000,0.999,800,3,18.28415650882333
2000,0.999,700,3,16.219402060577117
2000,0.999,600,4,18.51387255292379
2000,0.999,500,5,19.361438066466434
2000,0.999,400,6,18.773608837097388
2000,0.999,300,7,16.731991199665046
2000,0.999,200,11,17.578555621545316
2000,0.999,100,21,16.86039939069109
2000,0.999,50,42,16.598055932928666
2000,0.999,20,105,15.855306623117652
2000,0.999,10,208,14.899023235512058
2000,0.999,5,410,13.69885811268741
2000,0.999,1,2029,10.635378096602471
6000,0.999,1000,7,49.36406405
6000,0.999,900,7,44.87330937059737
6000,0.999,800,8,45.625306101543714
6000,0.999,700,9,45.059116903135994
6000,0.999,600,11,47.093699550643144
6000,0.999,500,13,46.49648209963979
6000,0.999,400,16,45.863216891392156
6000,0.999,300,21,45.15528388472454
6000,0.999,200,32,45.525099095834534
6000,0.999,100,63,43.99430088755598
6000,0.999,50,124,41.945033546861076
6000,0.999,20,314,39.63522205197415
6000,0.999,10,625,36.821573777983346
6000,0.999,5,1230,33.30491558
6000,0.999,1,6087,24.940353036672978
