demand,capacity factor criteria,power_of_min_lcoe,lcoe_min
500,0.9,1000,65.05
500,0.95,1000,65.05
500,0.99,1000,65.05
500,1.0,1000,65.05
1000,0.9,800,61.43
1000,0.95,900,58.53
1000,0.99,900,58.53
1000,1.0,900,58.53
5000,0.9,1000,54.06
5000,0.95,1000,54.06
5000,0.99,1000,54.06
5000,1.0,1000,54.06
10000,0.9,1000,53.02
10000,0.95,1000,52.3
10000,0.99,800,51.79
10000,1.0,800,51.79
demand,capacity factor criteria,power_of_min_lcoe,lcoe_min
500,0.9,1000,65.05
500,0.95,1000,65.05
500,0.99,1000,65.05
500,1.0,1000,65.05
1000,0.9,800,61.43
1000,0.95,900,58.53
1000,0.99,900,58.53
1000,1.0,900,58.53
5000,0.9,1000,54.06
5000,0.95,1000,54.06
5000,0.99,1000,54.06
5000,1.0,1000,54.06
10000,0.9,1000,53.02
10000,0.95,1000,52.3
10000,0.99,800,51.79
10000,1.0,800,51.79
